athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date,athlete_headshot_href
Tari Phillips,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,18,T. Phillips,Forward,F,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Vickie Johnson,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,16,V. Johnson,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Teresa Weatherspoon,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,20,T. Weatherspoon,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Crystal Robinson,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,19,C. Robinson,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Tamika Whitmore,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,21,T. Whitmore,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Becky Hammon,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,25,14,B. Hammon,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Korie Hlede,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,15,K. Hlede,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Camille Cooper,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,12,C. Cooper,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Linda Frohlich,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,13,L. Frohlich,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Bernadette Ngoyisa,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,17,B. Ngoyisa,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Sue Wicks,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,22,S. Wicks,Not Available,NA,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220816005,2002,3,2002-08-16,
Tamika Catchings,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,24,125,T. Catchings,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Nadine Malcolm,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,271,N. Malcolm,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Nikki McCray-Penson,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,282,N. McCray-Penson,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Olympia Scott,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,359,O. Scott,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Coquese Washington,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,420,C. Washington,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Niele Ivey,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,220,N. Ivey,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Monica Maxwell,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,277,M. Maxwell,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Jackie Moore,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,297,J. Moore,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Bridget Pettis,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,323,B. Pettis,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Kelly Schumacher,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,358,K. Schumacher,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Alicia Thompson,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,393,A. Thompson,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220816005,2002,3,2002-08-16,
Tamecka Dixon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,3,T. Dixon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Lisa Leslie,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,6,L. Leslie,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Mwadi Mabika,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,7,M. Mabika,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Nikki Teasley,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,10,N. Teasley,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Marlies Askamp,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,63,M. Askamp,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Erika de Souza,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,14,2,E. de Souza,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
DeLisha Milton-Jones,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,1,9,D. Milton-Jones,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Latasha Byears,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,1,L. Byears,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Vedrana Grgin Fonseca,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,4,V. Grgin Fonseca,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Nicky McCrimmon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,8,N. McCrimmon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
