athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
Essence Carson,Sparks,29,3-10,0-4,2-2,1,0,1,1,0,0,1,5,+1,8,TRUE,FALSE,FALSE,TRUE,17,802,E. Carson,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Candace Parker,Sparks,36,12-22,2-5,2-4,4,8,12,1,3,1,4,1,+1,28,TRUE,FALSE,FALSE,TRUE,3,812,C. Parker,https://a.espncdn.com/i/headshots/wnba/players/full/812.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Nneka Ogwumike,Sparks,31,6-10,0-0,0-0,6,6,12,1,1,1,1,5,+8,12,TRUE,FALSE,FALSE,TRUE,30,1068,N. Ogwumike,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Alana Beard,Sparks,37,4-12,0-0,0-0,3,1,4,6,0,0,2,0,-1,8,TRUE,FALSE,FALSE,TRUE,0,581,A. Beard,,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Kristi Toliver,Sparks,28,2-5,2-5,2-3,0,3,3,4,0,0,2,5,+3,8,TRUE,FALSE,FALSE,FALSE,20,856,K. Toliver,https://a.espncdn.com/i/headshots/wnba/players/full/856.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Sandrine Gruda,Sparks,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,FALSE,7,724,S. Gruda,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Jantel Lavender,Sparks,10,1-3,0-0,0-0,0,1,1,1,0,0,0,0,-5,2,FALSE,FALSE,FALSE,FALSE,14,1013,J. Lavender,https://a.espncdn.com/i/headshots/wnba/players/full/1013.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Chelsea Gray,Sparks,26,5-9,1-3,0-0,0,0,0,0,1,0,3,0,0,11,FALSE,FALSE,FALSE,TRUE,12,2529122,C. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/2529122.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920464,2016,3,2016-10-21
Rebekkah Brunson,Lynx,33,3-8,0-0,3-4,2,7,9,5,2,1,0,2,+6,9,TRUE,FALSE,FALSE,TRUE,32,571,R. Brunson,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Maya Moore,Lynx,36,8-14,1-3,6-7,0,6,6,11,3,0,3,3,+2,23,TRUE,FALSE,FALSE,TRUE,23,956,M. Moore,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Sylvia Fowles,Lynx,37,5-10,0-0,0-0,4,5,9,1,1,2,2,2,+1,10,TRUE,FALSE,FALSE,TRUE,34,766,S. Fowles,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Lindsay Whalen,Lynx,28,5-10,0-1,0-0,0,0,0,5,1,0,2,0,+1,10,TRUE,FALSE,FALSE,TRUE,13,545,L. Whalen,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Seimone Augustus,Lynx,32,7-15,1-3,2-2,0,1,1,2,0,1,0,1,+2,17,TRUE,FALSE,FALSE,TRUE,33,695,S. Augustus,https://a.espncdn.com/i/headshots/wnba/players/full/695.png,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Natasha Howard,Lynx,3,1-1,0-0,0-0,0,0,0,0,0,0,1,0,-2,2,FALSE,FALSE,FALSE,FALSE,,2529130,N. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/2529130.png,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Jia Perkins,Lynx,19,1-5,0-1,0-0,0,2,2,1,1,0,1,1,-13,2,FALSE,FALSE,FALSE,FALSE,7,537,J. Perkins,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Renee Montgomery,Lynx,12,1-1,1-1,0-0,0,0,0,0,0,0,0,0,-2,3,FALSE,FALSE,FALSE,FALSE,21,865,R. Montgomery,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920464,2016,3,2016-10-21
Rebekkah Brunson,Lynx,17,2-4,0-0,2-2,2,0,2,0,2,1,1,5,-2,6,TRUE,FALSE,FALSE,TRUE,32,571,R. Brunson,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Maya Moore,Lynx,34,9-17,2-4,11-12,2,7,9,5,3,2,5,2,+17,31,TRUE,FALSE,FALSE,TRUE,23,956,M. Moore,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Sylvia Fowles,Lynx,39,5-8,0-0,0-0,6,7,13,1,1,2,1,4,+7,10,TRUE,FALSE,FALSE,TRUE,34,766,S. Fowles,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Lindsay Whalen,Lynx,31,4-7,0-0,5-6,2,4,6,2,0,0,4,1,+8,13,TRUE,FALSE,FALSE,TRUE,13,545,L. Whalen,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Seimone Augustus,Lynx,33,5-12,0-2,2-2,1,6,7,5,0,0,3,2,0,12,TRUE,FALSE,FALSE,TRUE,33,695,S. Augustus,https://a.espncdn.com/i/headshots/wnba/players/full/695.png,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Natasha Howard,Lynx,13,0-2,0-0,0-0,0,1,1,0,0,1,1,1,0,0,FALSE,FALSE,FALSE,FALSE,,2529130,N. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/2529130.png,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Jia Perkins,Lynx,19,3-9,1-3,0-0,0,1,1,1,0,0,0,1,+5,7,FALSE,FALSE,FALSE,FALSE,7,537,J. Perkins,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Renee Montgomery,Lynx,6,1-3,0-0,4-5,1,1,2,2,0,0,1,0,-2,6,FALSE,FALSE,FALSE,FALSE,21,865,R. Montgomery,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Anna Cruz,Lynx,7,0-0,0-0,0-0,0,0,0,2,1,0,0,3,-3,0,FALSE,FALSE,FALSE,FALSE,51,3102551,A. Cruz,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400920463,2016,3,2016-10-17
Essence Carson,Sparks,23,2-9,0-2,0-0,1,3,4,1,0,0,1,4,-2,4,TRUE,FALSE,FALSE,FALSE,17,802,E. Carson,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920463,2016,3,2016-10-17
Candace Parker,Sparks,34,4-14,0-3,6-7,1,2,3,2,1,2,2,3,-9,14,TRUE,FALSE,FALSE,TRUE,3,812,C. Parker,https://a.espncdn.com/i/headshots/wnba/players/full/812.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400920463,2016,3,2016-10-17
